"iid","nid","tid","parent_iid"
"723","96443","3654",NULL
"724","247","856",NULL
"725","1272","690",NULL
"726","625","2734",NULL
"727","41620","256",NULL
"728","1606","1279",NULL
"729","226","303",NULL
"730","686","1006",NULL
"731","798","317",NULL
"732","89477","3469",NULL
"733","799","318",NULL
"734","988","1127",NULL
"735","548","2309",NULL
"736","2783","346",NULL
"737","1173","2494",NULL
"738","211","286",NULL
"739","378","319",NULL
"740","97288","3605",NULL
"741","714","1634",NULL
"742","1389","15",NULL
"743","642","1323",NULL
"744","3170","378",NULL
"745","759","1657",NULL
"746","1395","16",NULL
"747","4707","567",NULL
"748","746","1352",NULL
"749","296","297",NULL
"750","1088","2334",NULL
"751","945","1101",NULL
"752","98135","3394",NULL
"753","5249","1343",NULL
"754","446","935",NULL
"755","1227","1397",NULL
"756","937","1102",NULL
"757","535","2310",NULL
"758","57352","769",NULL
"759","4637","2741",NULL
"760","69699","3379",NULL
"761","71434","3232",NULL
"762","61076","2902",NULL
"763","47683","467",NULL
"764","805","312",NULL
"765","536","2311",NULL
"766","850","1591",NULL
"767","97867","3641",NULL
"768","4634","1359",NULL
"769","1547","2453",NULL
"770","560","2873",NULL
"771","45892","221",NULL
"772","1249","693",NULL
"773","377","1175",NULL
"774","1214","2524",NULL
"775","604","1399",NULL
"776","1731","468",NULL
"777","1057","2866",NULL
"778","452","2322",NULL
"779","927","3195",NULL
"780","44598","1400",NULL
"781","110482","1007",NULL
"782","2733","347",NULL
"783","580","1401",NULL
"784","784","1402",NULL
"785","41614","222",NULL
"786","1753","2789",NULL
"787","909","1103",NULL
"788","4710","1475",NULL
"789","1359","694",NULL
"790","94","167",NULL
"791","289","472",NULL
"792","146","870",NULL
"793","1548","2454",NULL
"794","458","2323",NULL
"795","45900","223",NULL
"796","1445","1703",NULL
"797","100171","3135",NULL
"798","41608","225",NULL
"799","4702","568",NULL
"800","422","837",NULL
"801","311","1151",NULL
"802","1199","2993",NULL
"803","1438","1692",NULL
"804","423","838",NULL
"805","1570","2466",NULL
"806","57378","775",NULL
"807","43951","474",NULL
"808","4635","2723",NULL
"809","57565","1118",NULL
"810","49892","3722",NULL
"811","97259","3608",NULL
"812","969","1051",NULL
"813","537","2312",NULL
"814","6267","224",NULL
"815","135","475",NULL
"816","1315","695",NULL
"817","97423","1729",NULL
"818","88029","3522",NULL
"819","47563","2946",NULL
"820","1592","1280",NULL
"821","350","1247",NULL
"822","100340","3703",NULL
"823","708","1008",NULL
"824","852","1404",NULL
"825","41430","2341",NULL
"826","354","1149",NULL
"827","248","857",NULL
"828","114175","3301",NULL
"829","6690","226",NULL
"830","249","858",NULL
"831","1597","2542",NULL
"832","379","1261",NULL
"833","1549","2455",NULL
"834","1715","2812",NULL
"835","84","477",NULL
"836","4709","569",NULL
"837","955","1038",NULL
"838","1149","170",NULL
"839","424","839",NULL
"840","787","1680",NULL
"841","229","478",NULL
"842","69726","3290",NULL
"843","910","1104",NULL
"844","689","1335",NULL
"845","1090","2328",NULL
"846","44381","18",NULL
"847","1527","2425",NULL
"848","1644","2875",NULL
"849","1074","2361",NULL
"850","56501","1244",NULL
"851","1013","1123",NULL
"852","76031","3336",NULL
"853","990","1130",NULL
"854","250","859",NULL
"855","41603","227",NULL
"856","425","840",NULL
"857","4590","1339",NULL
"858","623","1012",NULL
"859","1059","2355",NULL
"860","1761","1775",NULL
"861","3218","361",NULL
"862","102153","3616",NULL
"863","1509","2442",NULL
"864","290","479",NULL
"865","1041","2331",NULL
"866","4708","570",NULL
"867","58003","778",NULL
"868","69727","3129",NULL
"869","101364","3674",NULL
"870","57402","779",NULL
