"id_discipline","id_dep","discipline"
"2899","4087774","Единицы языка и их функционирование"
"6678","3920","Естесственно-научная картина мира"
"4013","4087768","Естественно-научная картина мира"
"2914","4087774","Естественно-научная картина мира"
"9730","4087776","Естественнонаучная картина мира"
"2130","4087763","Естествознание"
"5629","3879","Жидкокристаллические модуляторы и системы отображения информации"
"3055","4087769","Журналистика в этнокультурной среде"
"8102","4301","Западно-европейское искусство нового и новейшего времени"
"9733","4087776","Зарубежная литература"
"4043","4087768","Зарубежная литература и литература стран изучаемого языка"
"3931","4087768","Зарубежная литература и литература страны изучаемого языка"
"7836","4301","Зарубежное туристское страноведение"
"9358","3822","Защита интеллектуальной собственности"
"1929","3952","Защита интеллектуальной собственности и патентоведение"
"9366","3822","Защита прав человека"
"6959","4087778","Здоровьесберегающие технологии в образовании"
"3243","4087770","Здоровьесберегающие технологии в специальном образовании"
"1270","4087764","Земельное право"
"7240","4349","Земельные ресурсы"
"7116","4349","Землеведение"
"1625","3952","Зондовые методы исследования наноструктур и нанокомпозитов"
"5712","4370","Зоология"
"6053","4087765","Зоопсихология и сравнительная психология"
"2486","3935","Избранные вопросы теории колебаний и волн"
"1668","3952","Избранные главы современной медицинской физики"
"5595","3879","Избранные разделы физической оптики"
"1656","3952","Измерение параметров ПП, микро- и наноструктур на СВЧ"
"6782","4087778","Имидж руководителя"
"10890","4204","Имитационное моделирование"
"6771","4087778","Инвестиционный анализ"
"6203","4087765","Индивидуальная и групповая психотерапевтическая работа с детьми"
"6185","4087765","Индивидуальное психологическое консультирование"
"1274","4087764","Инженерная графика"
"1725","3952","Инженерная и компьютерная графика"
"1805","3952","Инновации в биологии и медицине"
"7715","4301","Инновации в туризме"
"6244","4087769","Инновационные процессы в образовании"
"6309","4047","Инновационные процессы в сфере образования"
"6228","4087765","Инновационные системы воспитания"
"6310","4047","Инновационные формы преподавания социологических дисциплин"
"6720","4087778","Инновационный менеджмент"
"6217","4087765","Инновационный педагогический менеджмент"
"8319","3964","Иностранный яз."
"4005","4087768","Иностранный язык"
"1588","3952","Иностранный язык"
"7774","4301","Иностранный язык (анг)"
"1276","4087764","Иностранный язык (английский)"
"3776","4265","Иностранный язык (второй)"
"7812","4301","Иностранный язык (нем)"
"1277","4087764","Иностранный язык (немецкий)"
"9480","4265","Иностранный язык (польский)"
"3835","4265","Иностранный язык (практический курс): англ./немец./франц."
